"#","Product A","Product B","Tier","Type","Strength","Same Session OK","G1","G2","G3","G4","G5","G6","G7","G8","Evidence Type","Clinical Rationale","Timing Guidance","Patient Education Text","Staff Talking Points","Evidence Summary","Decision","Notes"
"23","Xeomin","Juvederm Voluma XC","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Xeomin's ""naked molecule"" formulation (no complexing proteins) is a consideration for long-term immunogenicity -- relevant for patients planning ongoing maintenance. Voluma provides deep structural cheek volume using VYCROSS technology with up to 2-year duration. Xeomin is room-temperature stable. Cross-ecosystem (Merz + Allergan).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Xeomin 2 weeks before Voluma. Xeomin at 3-4 months; Voluma at 18-24 months.","Tell the patient: ""Xeomin is a wrinkle relaxer known as a 'pure' neurotoxin -- it contains only the active ingredient. Voluma is a structural filler placed deep in the cheeks to restore volume that naturally decreases with age -- it can last up to two years.""","""For patients interested in long-term treatment plans, Xeomin's purity is meaningful. Voluma is a deep structural filler for cheeks, up to 2-year duration. Xeomin is Merz, Voluma is Allergan -- different loyalty programs. Xeomin has room-temperature stability advantage.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Xeomin: no accessory proteins, room-temperature stable. Voluma: VYCROSS crosslinking, up to 2-year duration.","",""
"24","Xeomin","Restylane Lyft","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Xeomin's ""naked molecule"" formulation (no complexing proteins) is a consideration for long-term immunogenicity. Restylane Lyft's NASHA-technology HA has a unique dual FDA indication for midface volume and hands. Xeomin is room-temperature stable. Cross-ecosystem (Merz + Galderma).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Xeomin 2 weeks before Restylane Lyft. If treating hands, timing is independent. Xeomin at 3-4 months; Restylane Lyft at 12-18 months.","Tell the patient: ""Xeomin is a wrinkle relaxer sometimes called the 'pure' neurotoxin -- it contains only the active ingredient. Restylane Lyft is one of the few fillers approved for both midface volume and hands.""","""Two differentiators: Xeomin is the naked molecule without complexing proteins. Restylane Lyft has dual FDA approval for midface and hands. Xeomin is Merz, Restylane Lyft is Galderma -- different ecosystems. Xeomin has room-temperature storage advantage.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Xeomin: no accessory proteins, room-temperature stable. Restylane Lyft: NASHA technology, dual FDA indication.","",""
"25","Xeomin","RHA Redensity","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Xeomin's ""naked molecule"" formulation (no complexing proteins) is a consideration for long-term immunogenicity. RHA Redensity uses resilient HA technology for perioral fine lines -- a ""finishing filler"" for dynamic areas. Xeomin is room-temperature stable. Cross-ecosystem (Merz + Revance).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Xeomin 2 weeks before RHA Redensity. RHA Redensity is typically a finishing step. Xeomin at 3-4 months.","Tell the patient: ""Xeomin is a wrinkle relaxer known as the 'pure' neurotoxin -- it contains only the active ingredient. The fine lines around your mouth need a resilient filler that moves with your expressions. RHA Redensity is designed for exactly those delicate perioral lines.""","""Xeomin: naked molecule without complexing proteins -- for long-term treatment plans. RHA Redensity: designed for perioral area, sometimes called a finishing filler. Different ecosystems (Merz + Revance) -- no shared loyalty program.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Xeomin: no accessory proteins, room-temperature stable. RHA Redensity: resilient HA for dynamic perioral areas.","",""
"26","Xeomin","SKINVIVE by Juvederm","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","LOW","Xeomin's ""naked molecule"" formulation (no complexing proteins) is a consideration for long-term immunogenicity. SKINVIVE is NOT a volume filler -- it uses microdroplet HA intradermally to improve skin smoothness and hydration. Xeomin is room-temperature stable. Cross-ecosystem (Merz + Allergan).","Same session or sequential visits. Neurotoxin administered first, SKINVIVE microdroplets second. Xeomin at 3-4 months; SKINVIVE approximately every 6 months.","Tell the patient: ""Xeomin is a wrinkle relaxer known as the 'pure' neurotoxin -- it contains only the active ingredient. SKINVIVE is different from a traditional filler -- it uses tiny microdroplets of hyaluronic acid to improve your skin's overall cheek skin smoothness.""","""Xeomin: naked molecule without complexing proteins, room-temperature stable. SKINVIVE: not a traditional filler -- microdroplets for cheek skin smoothness. Merz + Allergan -- different loyalty programs.""","No product-specific or class-level study for BoNT-A + microdroplet HA. FDA labels for both. Xeomin: no accessory proteins, room-temperature stable.","",""
"27","Botox Cosmetic","Sculptra Aesthetic","conditional","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Neurotoxin relaxes dynamic muscles (immediate effect); Sculptra stimulates collagen production (gradual effect over months). These address two fundamentally different aspects of aging through completely different mechanisms. Note: No published controlled trial data exists for this specific combination. The FDA Sculptra label states combination use has not been evaluated in controlled clinical trials.","Can be same session or staggered. Long-term plan: neurotoxin every 3-4 months, Sculptra series of 2-3 sessions 4-6 weeks apart, then annual maintenance.","Tell the patient: ""Botox helps with lines from muscle movement. Over time you also lose the underlying volume and structure. Sculptra works over months to support collagen production. This combination is used in clinical practice, but it has not been evaluated in controlled clinical trials.""","""Expression lines and collagen loss are two different problems. This combination is used in clinical practice but has not been evaluated in controlled trials. Frame it as an option the provider may recommend based on individual needs.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. Expert consensus only. Evidence Type: LOW.","",""
"28","Daxxify","Sculptra Aesthetic","conditional","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Daxxify's peptide exchange technology provides ~6-month duration. Sculptra stimulates collagen production (gradual effect over months). The extended Daxxify duration reduces visit frequency. No published controlled trial data exists for this specific combination. The FDA Sculptra label states combination use has not been evaluated in controlled clinical trials.","Can be same session or staggered. Long-term plan: Daxxify every 5-6 months, Sculptra series of 2-3 sessions 4-6 weeks apart, then annual maintenance.","Tell the patient: ""Daxxify is a newer neurotoxin that smooths expression lines and typically lasts about six months. Sculptra works gradually over months to support collagen production. This combination is used in clinical practice, but it has not been evaluated in controlled clinical trials.""","""Daxxify's ~6-month duration reduces visit frequency (2/year vs 3-4/year). This combination is used in clinical practice but has not been evaluated in controlled trials.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. Daxxify: peptide exchange technology, ~6-month duration. Expert consensus only. Evidence Type: LOW.","",""
"29","Dysport","Sculptra Aesthetic","conditional","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Neurotoxin relaxes dynamic muscles; Sculptra stimulates collagen production. Dysport's broader diffusion and faster onset make it well-suited for larger surface areas. Both are Galderma products, giving practices ecosystem alignment. No published controlled trial data exists. FDA Sculptra label notes combination use not evaluated.","Can be same session or staggered. Long-term plan: Dysport every 3-4 months, Sculptra series of 2-3 sessions 4-6 weeks apart, then annual maintenance. Dysport's faster onset (2-3 days) means patients see initial results quickly.","Tell the patient: ""Dysport smooths the lines caused by facial expressions -- it works quickly. Sculptra works gradually over months to support collagen production. This combination is used in clinical practice, but it has not been evaluated in controlled clinical trials.""","""Both are Galderma products, which can simplify loyalty program conversations. This combination is used in clinical practice but has not been evaluated in controlled trials.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. Both Galderma products. Expert consensus only. Evidence Type: LOW.","",""
"30","Jeuveau","Sculptra Aesthetic","conditional","complementary","moderate","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Neurotoxin relaxes dynamic muscles; Sculptra stimulates collagen production. Jeuveau is an aesthetics-only neurotoxin with equivalent BoNT-A mechanism. No published controlled trial data exists for this specific combination, and Jeuveau-specific combination evidence is limited. FDA Sculptra label notes combination use not evaluated.","Can be same session or staggered. Long-term plan: Jeuveau every 3-4 months, Sculptra series of 2-3 sessions 4-6 weeks apart, then annual maintenance.","Tell the patient: ""Jeuveau is a neurotoxin designed specifically for aesthetics. Sculptra works gradually over months to support collagen production. This combination is used in clinical practice, but it has not been evaluated in controlled clinical trials.""","""The neurotoxin + biostimulator rationale applies to Jeuveau the same way as any neurotoxin. Jeuveau-specific combination evidence is limited. This combination has not been evaluated in controlled trials.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. Jeuveau-specific combination evidence limited. Expert consensus only. Evidence Type: LOW.","",""
"31","Juvederm Vollure XC","Sculptra Aesthetic","conditional","sequential","strong","conditional","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Sculptra stimulates collagen production in the midface; Vollure corrects nasolabial folds with immediate HA gel. Different tissue depths and purposes. By establishing Sculptra first, NLFs may partially improve before Vollure is applied, potentially meaning less filler needed. No published controlled trial data exists. FDA Sculptra label notes combination use not evaluated.","Sequential staging preferred: Sculptra series first (2-3 sessions, 4-6 weeks apart), then assess NLFs 4-6 weeks after. Same-session in different tissue planes performed by some experienced injectors but not evaluated in controlled trials. Both have extended durations (Vollure ~18 months, Sculptra 2+ years).","Tell the patient: ""Nasolabial folds often deepen because the midface above them loses structural support. Sculptra works gradually to support collagen production, which may help lift those folds from above. Vollure smooths whatever fold remains. This combination is used in clinical practice, but it has not been evaluated in controlled clinical trials.""","""Explain the upstream cause: folds deepen because the midface loses volume. Sculptra addresses the cause; Vollure treats the symptom. Vollure is Allergan, Sculptra is Galderma. This combination has not been evaluated in controlled trials.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. Expert consensus supports biostimulator + HA filler combinations. Evidence Type: LOW.","",""
"32","Juvederm Voluma XC","Sculptra Aesthetic","conditional","sequential","strong","conditional","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Sculptra stimulates collagen production; Voluma provides structural cheek contouring with immediate HA gel correction. Voluma provides the immediate structural contour that Sculptra cannot deliver right away. By establishing Sculptra first, practices may find patients need less Voluma at subsequent touch-ups. No published controlled trial data exists. FDA Sculptra label notes combination use not evaluated.","Sequential staging preferred: Sculptra series first (2-3 sessions, 4-6 weeks apart), then refine with Voluma 4-6 weeks after. Same-session in different tissue planes performed by some experienced injectors but not evaluated in controlled trials.","Tell the patient: ""Sculptra works gradually over months to support collagen production -- strengthening the foundation. Voluma adds precise cheek definition and lift right away. Your provider may suggest starting with Sculptra, then using Voluma for contouring on top. This combination has not been evaluated in controlled clinical trials.""","""Explain two layers: underlying collagen structure (Sculptra, gradual) vs specific contour/definition (Voluma, immediate). Allergan (Voluma) and Galderma (Sculptra) are different manufacturers. This combination has not been evaluated in controlled trials.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. Expert consensus supports biostimulator + HA filler combinations. Evidence Type: LOW.","",""
"33","Restylane Lyft","Sculptra Aesthetic","conditional","sequential","strong","conditional","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Sculptra stimulates collagen production; Restylane Lyft provides immediate midface structure and is also FDA-approved for hand rejuvenation. Both are Galderma products, offering genuine ecosystem synergy. No published controlled trial data exists. FDA Sculptra label notes combination use not evaluated.","Sequential staging preferred: Sculptra series first (2-3 sessions, 4-6 weeks apart), then Lyft for structural contouring 4-6 weeks after. Same-session in different tissue planes not evaluated in controlled trials. Galderma ecosystem covers both products.","Tell the patient: ""Sculptra works gradually to support collagen production -- strengthening the foundation. Restylane Lyft adds immediate definition to your cheeks and midface, and it's also approved for hands. They're both made by Galderma. This combination has not been evaluated in controlled clinical trials.""","""Galderma ecosystem pairing -- same manufacturer, aligned training, loyalty programs. Lyft is FDA-approved for hands, and Sculptra can stimulate hand collagen. This combination has not been evaluated in controlled trials.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. Both Galderma products. Expert consensus only. Evidence Type: LOW.","",""
"34","RHA Redensity","Sculptra Aesthetic","conditional","sequential","strong","conditional","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Sculptra stimulates deep collagen production; RHA Redensity addresses perioral fine lines with resilient HA designed for dynamic facial areas. Different depths and purposes. No published controlled trial data exists. FDA Sculptra label notes combination use not evaluated.","Sequential staging preferred: Sculptra series first (2-3 sessions, 4-6 weeks apart), then assess perioral lines 4-6 weeks after. Sculptra's collagen stimulation may partially improve perioral lines. Same-session at different planes not evaluated in controlled trials.","Tell the patient: ""The fine lines around your mouth are in one of the most active areas of your face. RHA Redensity is designed for that -- it flexes with your facial movement. Sculptra addresses the deeper collagen structure. This combination is used in clinical practice, but has not been evaluated in controlled clinical trials.""","""Perioral lines form from constant movement and collagen thinning. RHA Redensity smooths surface lines; Sculptra supports deeper collagen. RHA Redensity is Revance, Sculptra is Galderma. This combination has not been evaluated in controlled trials.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. Expert consensus supports biostimulator + HA filler combinations. RHA: resilient HA for dynamic areas. Evidence Type: LOW.","",""
"35","Sculptra Aesthetic","InMode Morpheus8","conditional","stacks_with","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Sculptra stimulates collagen through PLLA particles (gradual biologic response). Morpheus8 stimulates collagen through RF thermal energy (immediate wound-healing response). Two different pathways to collagen stimulation. Sculptra also provides volume restoration; Morpheus8 provides skin tightening and texture improvement. No published controlled trial data exists. FDA Sculptra label notes combination use not evaluated.","Can be same session or sequential. If sequential: Sculptra series first to build collagen foundation, then Morpheus8 for texture and tightening. Maintenance: Sculptra annually, Morpheus8 1-2x per year.","Tell the patient: ""Sculptra works beneath the surface to gradually support collagen production. Morpheus8 uses radiofrequency energy to improve skin texture and firmness from a different angle. This combination is used in clinical practice, but has not been evaluated in controlled clinical trials.""","""When a patient has both volume loss and skin quality concerns, this combination addresses both from different angles. Sculptra supports collagen production gradually; RF microneedling improves texture and firmness. This combination has not been evaluated in controlled trials.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. Expert consensus supports combining biostimulators with energy-based devices. Evidence Type: LOW.","",""
"36","SKINVIVE by Juvederm","Sculptra Aesthetic","conditional","sequential","strong","conditional","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Sculptra stimulates deep collagen production; SKINVIVE improves skin surface quality through microdroplet HA hydration. Different depths for different purposes. SKINVIVE is NOT a volume filler -- it's a skin quality treatment. Together they represent an inside-out approach. No published controlled trial data exists. FDA Sculptra label notes combination use not evaluated.","Sequential staging preferred: complete Sculptra series first (2-3 sessions, 4-6 weeks apart), then add SKINVIVE once collagen stimulation is established. SKINVIVE serves as the last step -- adding hydration and skin quality on top of rebuilt structure.","Tell the patient: ""Sculptra and SKINVIVE work at completely different levels for different reasons. Sculptra goes deep -- gradually supporting collagen production. SKINVIVE is a surface treatment -- tiny microdroplets for hydration, smoothness, and skin quality. This combination has not been evaluated in controlled clinical trials.""","""SKINVIVE is NOT a volume filler -- it's a skin quality treatment. Sculptra supports deep collagen; SKINVIVE improves surface hydration and smoothness. Allergan (SKINVIVE) and Galderma (Sculptra) are different manufacturers. This combination has not been evaluated in controlled trials.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. SKINVIVE: microdroplet HA for skin quality, not volume. Expert consensus only. Evidence Type: LOW.","",""
"37","Xeomin","Sculptra Aesthetic","conditional","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Neurotoxin relaxes dynamic muscles; Sculptra stimulates collagen production. Xeomin is a purified neurotoxin (0.55ng accessory protein) which may reduce antibody formation risk over repeated treatments -- particularly relevant for long-term aging management plans. Xeomin is room-temperature stable. No published controlled trial data exists. FDA Sculptra label notes combination use not evaluated.","Can be same session or staggered. Long-term plan: Xeomin every 3-4 months, Sculptra series of 2-3 sessions 4-6 weeks apart, then annual maintenance. Xeomin's lower antibody formation risk makes it a consideration for long-term maintenance.","Tell the patient: ""Xeomin is a purified form of neurotoxin -- it contains only the active ingredient. This may matter long-term because your body is less likely to develop resistance. Sculptra works gradually over months to support collagen production. This combination is used in clinical practice, but has not been evaluated in controlled clinical trials.""","""Xeomin + Sculptra: the key differentiator is long-term planning. Xeomin's lower antibody risk is a genuine clinical consideration for extended combination therapy. Xeomin is Merz. This combination has not been evaluated in controlled trials.""","FDA Sculptra labeling: combination use not evaluated in controlled trials. Xeomin: purified formulation, 0.55ng accessory protein, room-temperature stable. Expert consensus only. Evidence Type: LOW.","",""
